adjust,adjusted
univari,univariate
regress,regression
analysi,analysis
demonstr,demonstrated
asignific,asignificant
correl,correlation
between,between
global,global
lv,lv
strain,strain
and,and
ra,ra
health,health
assessmentquestionnair,assessmentquestionnaire
disabl,disability
index,index
p,p
and,and
borderlin,borderline
associ,associations
with,with
prior,prior
us,use
of,of
oral,oral
corticosteroid,corticosteroids
p,p
and,and
methotrex,methotrexate
p,p
after,after
adjustmentfor,adjustmentfor
ag,age
gender,gender
blood,blood
pressur,pressure
bodi,body
mass,mass
index,index
heart,heart
rate,rate
and,and
lv,lv
mass,mass
index,index
conclus,conclusions
global,global
longitudin,longitudinal
lv,lv
and,and
rv,rv
strain,strain
is,is
reduc,reduced
in,in
patient,patients
with,with
ra,ra
compar,compared
with,with
healthi,healthy
patient,patients
